ORF1,ORF2
YGR138C,YOR153W
YLR170C,YPR029C
YLR191W,YOL147C
YKL051W,YKL051W
YLR413W,YML072C
YLR370C,YOR181W
YDL192W,YPR156C
YHR074W,YHR074W
YCR028CA,YNL197C
YIL105C,YPL058C
YPL006W,YPR032W
YBR154C,YPR010C
YKL051W,YOR094W
YKL140W,YMR152W
YDL123W,YGR163W
YER166W,YGL203C
YHR096C,YPR156C
YNL186W,YOR206W
YBR052C,YBR132C
YDL222C,YGR065C
YLR144C,YML013W
YJL130C,YOR027W
YBR207W,YDR141C
YGL133W,YPL190C
YDR028C,YLR028C
YPR036W,YPR036W
YBR057C,YBR057C
YDR100W,YGL077C
YGR178C,YHR121W
YDR329C,YPL112C
YJR122W,YNR075CA
YDR501W,YPL265W
YGL206C,YLR370C
YDR105C,YPR113W
YKL013C,YNR035C
YHR072W,YHR072W
YBL017C,YGL203C
YOL012C,YPR052C
YCR028CA,YOR273C
YBL041W,YPL129W
YHR012W,YJL154C
YBR068C,YHR094C
YIL027C,YJL117W
YGR253C,YOR362C
YDL021W,YKL214C
YDL215C,YOL147C
YDR011W,YGL056C
YHR094C,YPR156C
YGL056C,YGR055W
YDR011W,YML072C
YCR028CA,YER020W
YGR055W,YML072C
YLL021W,YLL021W
YCL056C,YCR092C
YER099C,YER099C
YDR416W,YDR420W
YDR497C,YGL077C
YDR100W,YKR088C
YDR350C,YOR110W
YBL102W,YGL006W
YMR272C,YPL227C
YBL068W,YKL181W
YBR177C,YML016C
YDR501W,YGL203C
YEL013W,YOR316C
YGL077C,YHR007C
YGR200C,YPL101W
YDL160C,YNL118C
YDL008W,YKL079W
YHR096C,YPL265W
YCL021WA,YKR101W
YBR041W,YKL094W
YJR042W,YKL057C
YDL029W,YMR109W
YBR177C,YEL051W
YDL029W,YDR063W
YBL051C,YER068W
YPL010W,YPL246C
YDR032C,YLR237W
YCR093W,YGL178W
YKL088W,YMR272C
YBR052C,YIL121W
YGR121C,YPR138C
YDL192W,YGL203C
YIL047C,YIL047C
YNL255C,YNR051C
YDR032C,YHR001W
YBR234C,YNR035C
YFL003C,YLR160C
YCL037C,YIR001C
YGL014W,YNL197C
YAL020C,YDR354W
YCR030C,YER166W
YFL048C,YPL246C
YHL048W,YHR007C
