ORF1	NAME1	ORF2	NAME2
YEL051W	VMA8	YMR120C	ADE17
YGL006W	PMC1	YMR221C	YMR221C
YER020W	GPA2	YGR130C	YGR130C
YBR207W	FTH1	YEL013W	VAC8
YKL051W	SFK1	YLR219W	MSC3
YCR009C	RVS161	YDR388W	RVS167
YAR002C-A	ERP1	YMR272C	SCS7
YGR105W	VMA21	YML012W	ERV25
YDR501W	PLM2	YLR413W	YLR413W
YDR324C	UTP4	YGR128C	UTP8
YDR189W	SLY1	YPR105C	COG4
YFL026W	STE2	YIL068C	SEC6
YML016C	PPZ1	YPL058C	PDR12
YNL255C	GIS2	YPL119C	DBP1
YBR077C	SLM4	YML121W	GTR1
YAL029C	MYO4	YKL130C	SHE2
YGL212W	VAM7	YMR231W	PEP5
YDR499W	LCD1	YIL027C	KRE27
YDL074C	BRE1	YLR424W	SPP382
YLL013C	PUF3	YNL016W	PUB1
YDR264C	AKR1	YHR175W	CTR2
YIL070C	MAM33	YIL105C	SLM1
YFR051C	RET2	YPL246C	RBD2
YDR100W	TVP15	YIL027C	KRE27
YJL053W	PEP8	YOR069W	VPS5
YGL137W	SEC27	YPL246C	RBD2
YKL054C	DEF1	YLR216C	CPR6
YML055W	SPC2	YMR149W	SWP1
YDR032C	PST2	YER145C	FTR1
YDR398W	UTP5	YIL127C	YIL127C
YGL153W	PEX14	YOL147C	PEX11
YML012W	ERV25	YML016C	PPZ1
YFR002W	NIC96	YML031W	NDC1
YDL212W	SHR3	YMR149W	SWP1
YKL051W	SFK1	YLR326W	YLR326W
YGL077C	HNM1	YHL016C	DUR3
YCR030C	SYP1	YPL221W	FLC1
YBR002C	RER2	YJL151C	SNA3
YDL192W	ARF1	YMR292W	GOT1
YLR336C	SGD1	YPR137W	RRP9
YDL212W	SHR3	YIL027C	KRE27
YDR289C	RTT103	YIL127C	YIL127C
YEL051W	VMA8	YML121W	GTR1
YDL189W	RBS1	YOL138C	YOL138C
YMR299C	DYN3	YPL058C	PDR12
YJL151C	SNA3	YLR144C	ACF2
YBR077C	SLM4	YKR007W	MEH1
YLR447C	VMA6	YOR270C	VPH1
YAL021C	CCR4	YNL288W	CAF40
YAL053W	FLC2	YDL222C	FMP45
YBR296C-A	YBR296C-A	YJR131W	MNS1
YHR007C	ERG11	YMR149W	SWP1
YGL213C	SKI8	YMR120C	ADE17
YDR142C	PEX7	YKL054C	DEF1
YGR020C	VMA7	YOR270C	VPH1
YLR337C	VRP1	YNL084C	END3
YOR229W	WTM2	YOR229W	WTM2
YBL029C-A	YBL029C-A	YER145C	FTR1
YBR111W-A	SUS1	YOL138C	YOL138C
YDR011W	SNQ2	YDR501W	PLM2
YHR007C	ERG11	YIL027C	KRE27
YDR501W	PLM2	YGR055W	MUP1
YKL054C	DEF1	YNL288W	CAF40
YHR122W	YHR122W	YIL128W	MET18
YJL154C	VPS35	YMR004W	MVP1
YCR057C	PWP2	YLR409C	UTP21
YCR028C-A	RIM1	YMR275C	BUL1
YDR119W	YDR119W	YGL006W	PMC1
YBR106W	PHO88	YPR113W	PIS1
YCR030C	SYP1	YCR030C	SYP1
YBL017C	PEP1	YOL129W	VPS68
YDL147W	RPN5	YFR004W	RPN11
YDL225W	SHS1	YDL225W	SHS1
YDR238C	SEC26	YPL057C	SUR1
YNR035C	ARC35	YPL004C	LSP1
YEL051W	VMA8	YKR007W	MEH1
YBR214W	SDS24	YBR243C	ALG7
YCR075C	ERS1	YPL246C	RBD2
