"orf_name_a" "gene_name_a" "orf_name_b" "gene_name_b" "n_publications" "n_methods" "n_evidence" "Zone" "GI_PCC" "CS_PCC" "GE_PCC"
"220" "YBL014C" "RRN6" "YER148W" "SPT15" 3 2 4 "A" NA NA NA
"221" "YBL014C" "RRN6" "YJL025W" "RRN7" 5 4 5 "A" NA NA NA
"222" "YBL014C" "RRN6" "YKL125W" "RRN3" 1 2 2 "A" NA NA NA
"223" "YBL014C" "RRN6" "YML043C" "RRN11" 3 2 3 "A" NA NA NA
"224" "YBL016W" "FUS3" "YBL016W" "FUS3" 4 4 4 "A" NA NA NA
"225" "YBL016W" "FUS3" "YDL159W" "STE7" 21 9 25 "A" NA NA 0.1754
"226" "YBL016W" "FUS3" "YDR103W" "STE5" 23 9 27 "A" NA NA 0.651
"227" "YBL016W" "FUS3" "YDR480W" "DIG2" 8 4 10 "B" NA NA NA
"228" "YBL016W" "FUS3" "YER075C" "PTP3" 2 3 4 "C" NA NA NA
"229" "YBL016W" "FUS3" "YGL178W" "MPT5" 1 2 2 "C" NA NA 0.1459
"230" "YBL016W" "FUS3" "YJL157C" "FAR1" 4 3 5 "B" NA NA NA
"231" "YBL016W" "FUS3" "YLR362W" "STE11" 7 5 8 "A" NA NA 0.0974
"232" "YBL016W" "FUS3" "YNL053W" "MSG5" 4 3 4 "C" NA NA 0.2482
"233" "YBL016W" "FUS3" "YPL049C" "DIG1" 5 4 7 "B" NA NA NA
"234" "YBL017C" "PEP1" "YMR197C" "VTI1" 1 2 2 "D" -0.02686 NA 0.1614
"235" "YBL019W" "APN2" "YBR088C" "POL30" 3 2 4 "D" 0.03541 NA 0.0166
"236" "YBL023C" "MCM2" "YBL023C" "MCM2" 2 2 3 "A" NA NA NA
"237" "YBL023C" "MCM2" "YDL017W" "CDC7" 14 3 16 "A" 0.11655 NA 0.3715
"238" "YBL023C" "MCM2" "YDR052C" "DBF4" 6 3 9 "A" 0.13468 NA 0.2766
"239" "YBL023C" "MCM2" "YGL201C" "MCM6" 14 7 17 "A" 0.21254 NA 0.6398
"240" "YBL023C" "MCM2" "YIL150C" "MCM10" 9 4 10 "C" 0.00366 NA 0.2046
"241" "YBL023C" "MCM2" "YJL194W" "CDC6" 5 6 8 "A" 0.25259 NA 0.4592
"242" "YBL023C" "MCM2" "YOR080W" "DIA2" 1 2 2 "B" 0.14992 NA NA
"243" "YBL023C" "MCM2" "YPR019W" "MCM4" 18 8 21 "A" 0.23107 NA 0.6858
"244" "YBL025W" "RRN10" "YDL113C" "ATG20" 2 2 2 "B" NA NA 0.2545
"245" "YBL025W" "RRN10" "YMR270C" "RRN9" 2 2 2 "A" NA NA 0.3647
"246" "YBL026W" "LSM2" "YCR077C" "PAT1" 5 3 5 "A" 0.17951 NA NA
"247" "YBL026W" "LSM2" "YDL160C" "DHH1" 4 2 4 "A" NA NA 0.0115
"248" "YBL026W" "LSM2" "YDR378C" "LSM6" 5 4 6 "A" 0.42822 NA NA
"249" "YBL026W" "LSM2" "YER112W" "LSM4" 3 4 5 "A" NA NA 0.5435
"250" "YBL026W" "LSM2" "YER146W" "LSM5" 5 4 6 "A" NA NA 0.5752
"251" "YBL026W" "LSM2" "YJL124C" "LSM1" 9 3 9 "A" 0.23973 NA 0.4582
"252" "YBL026W" "LSM2" "YJR022W" "LSM8" 6 4 7 "A" 0.21175 NA NA
"253" "YBL026W" "LSM2" "YLR275W" "SMD2" 3 2 3 "A" 0.13137 NA 0.6768
"254" "YBL026W" "LSM2" "YLR438C-A" "LSM3" 8 5 9 "A" 0.39296 NA 0.5513
"255" "YBL026W" "LSM2" "YMR268C" "PRP24" 4 2 4 "A" 0.35096 NA 0.1545
"256" "YBL026W" "LSM2" "YNL147W" "LSM7" 4 4 5 "A" 0.4679 NA NA
"257" "YBL026W" "LSM2" "YOL149W" "DCP1" 2 2 2 "B" 0.03924 NA 0.5707
"258" "YBL031W" "SHE1" "YGR218W" "CRM1" 2 2 2 "C" 0.03384 NA 0.0682
"259" "YBL031W" "SHE1" "YKR054C" "DYN1" 1 2 2 "C" 0.08017 0.318742660054396 0.0385
"260" "YBL034C" "STU1" "YFL037W" "TUB2" 3 4 4 "C" 0.25739 NA 0.1813
"261" "YBL034C" "STU1" "YML085C" "TUB1" 2 3 3 "C" NA NA 0.1189
"262" "YBL035C" "POL12" "YDR082W" "STN1" 4 3 5 "B" 0.15107 NA NA
"263" "YBL035C" "POL12" "YNL102W" "POL1" 4 4 4 "A" 0.29679 NA 0.7159
"264" "YBL039C" "URA7" "YBL039C" "URA7" 2 2 2 "D" NA NA NA
