A,B
YMR116C,YNL178W
YGL212W,YLR093C
YGL061C,YKR037C
YKL061W,YNL086W
YOR174W,YPR070W
YGR005C,YKR062W
YDR270W,YNL259C
YBL102W,YOR036W
YJL122W,YNL119W
YGR222W,YNR045W
YLR335W,YNL189W
YBL099W,YJR121W
YBR194W,YPR152C
YIR010W,YJR112W
YDL136W,YER002W
YGL223C,YNL051W
YOL006C,YOR295W
YER007W,YML085C
YDR489W,YLR103C
YHR010W,YLL045C
YBR211C,YDR383C
YBL078C,YHR171W
YGR163W,YKR007W
YKL002W,YKL041W
YDR156W,YJR063W
YDR390C,YDR510W
YGL066W,YPL254W
YCR057C,YOR145C
YDR449C,YJL069C
YDR316W,YER154W
YDR489W,YPR135W
YGL153W,YNL214W
YJL025W,YML043C
YLR117C,YPL151C
YGR178C,YNR014W
YMR197C,YOL018C
YMR255W,YOR046C
YER082C,YJL069C
YIL061C,YMR125W
YGR103W,YOR272W
YDL074C,YGL058W
YGR245C,YHR085W
YBL078C,YNL223W
YDR409W,YDR510W
YBR276C,YER081W
YDR101C,YGL030W
YDR091C,YLR192C
YDL147W,YFR004W
YGR102C,YHR039CA
YDL108W,YNL025C
YGR095C,YNL232W
YNR053C,YPL093W
YDR237W,YNL284C
YKL144C,YNL151C
YKL130C,YNL023C
YIL144W,YMR117C
YMR049C,YPL249CA
YGL172W,YJL041W
YBL038W,YDR296W
YLR378C,YPL094C
YJR093C,YLR277C
YKR035WA,YNL265C
YGL128C,YPL151C
YPL218W,YPR181C
YOL148C,YPL254W
YER092W,YLR052W
YFR011C,YNL026W
YLR026C,YLR078C
YAL016W,YGL190C
YIL143C,YKR062W
YDR383C,YGR179C
YLR229C,YOL113W
YIR012W,YLR075W
YAL035W,YMR260C
YIL022W,YJL143W
YBR082C,YPR093C
YMR235C,YOR185C
YFL005W,YNL293W
YDR145W,YGL112C
YDL084W,YDR381W
YER019CA,YLR378C
YER019CA,YPL189CA
YIL022W,YPL063W
YML060W,YMR201C
YDL082W,YOL077C
YDR002W,YGR218W
YDL082W,YNL301C
YNL265C,YPR173C
YBL019W,YBR088C
YFR050C,YPR103W
YBL059CA,YDR079W
YAL058W,YJR122W
YBR221C,YNL071W
YAL034WA,YIR010W
YJL014W,YJR064W
YHR187W,YKL096W
YJL001W,YOR362C
YJL143W,YPL063W
YER136W,YOR089C
YDR449C,YLR051C
YER131W,YPL037C
YBL050W,YBR080C
YDR378C,YER112W
YBL035C,YKL045W
YOR254C,YPL094C
YMR055C,YPR119W
YBR057C,YGL036W
YDL075W,YGR285C
YDL153C,YKL099C
YGR103W,YLL045C
YBR261C,YMR095C
YBR082C,YER068W
YBR282W,YNL005C
YHR041C,YLR071C
YAL025C,YOR206W
YDL217C,YOR297C
YJR141W,YLR277C
YGR158C,YOR001W
YLR259C,YOR020C
YLL050C,YMR092C
YBR185C,YER154W
YER002W,YGL103W
YJR010CA,YML055W
YDL149W,YJL178C
YKL095W,YLR117C
YDR482C,YGL243W
YLR181C,YPR173C
YCL059C,YDR064W
YKL016C,YLR295C
YIL133C,YOR312C
YIL004C,YLR026C
YOL072W,YPR045C
YMR309C,YNL244C
YDR437W,YPL076W
YFL026W,YLR452C
YBR193C,YGR104C
YDL081C,YDR382W
YBL071WA,YIL103W
YKR026C,YLR291C
YDR311W,YPL122C
YBR274W,YDR113C
YOR349W,YPL241C
YGL019W,YIL035C
YDL043C,YOR319W
YMR263W,YPL011C
YAL011W,YBR231C
YNL131W,YPL063W
