geneA,geneB
YDR457W,YKR054C
YKR054C,YDR457W
YCL009C,YHR025W
YHR025W,YCL009C
YCR031C,YDL130W
YLR388W,YLR185W
YDL130W,YCR031C
YLR185W,YLR388W
YMR142C,YNL302C
YGR192C,YDR050C
YNL302C,YMR142C
YDR050C,YGR192C
YML063W,YHR010W
YCR031C,YBL092W
YPL249CA,YGL189C
YOR167C,YDR500C
YDR394W,YGL011C
YBL092W,YCR031C
YAL038W,YOL086C
YJL001W,YER012W
YOL086C,YAL038W
YPL160W,YGR264C
YER012W,YJL001W
YGL011C,YDR394W
YGL189C,YPL249CA
YHR010W,YML063W
YBR140C,YIL129C
YGR264C,YPL160W
YIL129C,YBR140C
YDR500C,YOR167C
YNL178W,YDR064W
YBR189W,YML073C
YDL147W,YER021W
YML012W,YGL200C
YER021W,YDL147W
YDR064W,YNL178W
YGL200C,YML012W
YML073C,YBR189W
YPR167C,YKL001C
YKR069W,YJR137C
YJR137C,YKR069W
YKL001C,YPR167C
YNL064C,YLL024C
YKL016C,YDR529C
YLL024C,YNL064C
YDR529C,YKL016C
YJL109C,YBL004W
YBL004W,YJL109C
YOL127W,YHR021C
YBL092W,YLR185W
YDL007W,YKL145W
YHR174W,YLR044C
YGR145W,YGR245C
YNR050C,YBR291C
YBR291C,YNR050C
YLR092W,YJR137C
YHR021C,YOL127W
YGR245C,YGR145W
YLR044C,YHR174W
YKL145W,YDL007W
YJR137C,YLR092W
YLR185W,YBL092W
YMR300C,YLR359W
YJL109C,YJR041C
YLR359W,YMR300C
YJR041C,YJL109C
YPR010C,YNL132W
YNL132W,YPR010C
YNL178W,YGL123W
YDR324C,YLR222C
YDR299W,YHR066W
YMR076C,YFL008W
YGL123W,YNL178W
YFL008W,YMR076C
YLR222C,YDR324C
YHR066W,YDR299W
YML081CA,YPL271W
YLR452C,YCL027W
YPL271W,YML081CA
YBL004W,YKL014C
YJR092W,YMR001C
YML063W,YJR123W
YAR050W,YAL063C
YMR001C,YJR092W
YCL027W,YLR452C
YKL014C,YBL004W
YAL063C,YAR050W
YJR123W,YML063W
YDR408C,YAR015W
YAR015W,YDR408C
YDL075W,YER056CA
YJR121W,YDL004W
YJR010W,YLR092W
YDL004W,YJR121W
YLR092W,YJR010W
YGL202W,YGL026C
YGL026C,YGL202W
YER056CA,YDL075W
YNL007C,YNL064C
YJL109C,YPR010C
YNL064C,YNL007C
YNL302C,YBL092W
YLR259C,YOR020C
YBL092W,YNL302C
YOR020C,YLR259C
YPL240C,YDR214W
YDR214W,YPL240C
YPR010C,YJL109C
YDR377W,YPL078C
YPL078C,YDR377W
YER021W,YDL097C
YIL125W,YDR148C
YDR148C,YIL125W
YDL097C,YER021W
YNL169C,YER026C
YER026C,YNL169C
YPL078C,YKL016C
YMR076C,YHR154W
YLR048W,YGR214W
YMR189W,YMR120C
