	orf_name_a	gene_name_a	orf_name_b	gene_name_b	Zone	GI_PCC	CS_PCC	GE_PCC
2632	YGR142W	BTN2	YMR075W	RCO1	C	-0.03468	-0.010412178	0.1802
2633	YGR142W	BTN2	YMR213W	CEF1	C	-0.00159	NA	0.1402
2634	YGR142W	BTN2	YNL055C	POR1	D	-0.00646	NA	0.0637
2635	YGR142W	BTN2	YOR217W	RFC1	C	-0.02293	NA	0.0165
2636	YGR143W	SKN1	YOL002C	IZH2	D	0.05454	0.020403418	0.2598
2641	YGR146C	ECL1	YLR291C	GCD7	C	0.02099	NA	NA
2642	YGR146C	ECL1	YML051W	GAL80	D	0.02949	0.092183722	NA
2643	YGR146C	ECL1	YOR368W	RAD17	C	0.01398	0.319190038	NA
2644	YGR146C	ECL1	YPL070W	MUK1	C	0.08663	0.055231759	NA
2645	YGR148C	RPL24B	YKR048C	NAP1	B	-0.00238	0.018244173	0.3291
2647	YGR153W		YML088W	UFO1	C	0.02383	0.079769469	NA
2648	YGR158C	MTR3	YGR195W	SKI6	A	0.31379	NA	0.6812
2649	YGR158C	MTR3	YIL092W		C	0.03171	NA	NA
2650	YGR158C	MTR3	YJR046W	TAH11	C	0.05021	NA	0.222
2651	YGR158C	MTR3	YKL204W	EAP1	B	-0.02614	NA	0.1362
2652	YGR158C	MTR3	YLR345W		C	0.01541	NA	-0.2924
2653	YGR158C	MTR3	YNL232W	CSL4	A	0.4768	NA	0.5727
2654	YGR158C	MTR3	YOR158W	PET123	B	NA	NA	0.03
2655	YGR158C	MTR3	YOR259C	RPT4	B	0.00337	NA	0.2665
2656	YGR158C	MTR3	YPL173W	MRPL40	B	0.05835	NA	0.2402
2657	YGR161W-C		YLR335W	NUP2	C	0.02642	NA	NA
2659	YGR168C		YGR168C		D	NA	NA	NA
2660	YGR168C		YGR177C	ATF2	D	0.03408	0.24842605	NA
2661	YGR168C		YGR183C	QCR9	C	0.0417	0.09859621	NA
2662	YGR168C		YIL065C	FIS1	D	0.01387	0.069694342	NA
2663	YGR168C		YJL136C	RPS21B	C	NA	NA	NA
