orf_name_a,orf_name_b,Uetz-screen,Ito-core,CCSB-YI1,YeRI
YBR205W,YIR038C,False,False,True,False
YBR205W,YPR107C,True,False,False,False
YBR212W,YDL167C,False,True,False,False
YBR212W,YML088W,False,False,False,True
YBR212W,YPL184C,False,False,True,False
YBR216C,YML007W,False,True,False,False
YBR217W,YHR171W,True,True,False,False
YBR217W,YLL042C,False,False,False,True
YBR217W,YLR423C,False,True,False,False
YBR217W,YMR159C,True,True,False,False
YBR217W,YNR007C,False,False,False,True
YBR217W,YPL149W,True,True,False,True
YBR221C,YKL117W,False,False,True,False
YBR221C,YLR345W,True,False,False,False
YBR222C,YDL006W,False,False,True,False
YBR223C,YDR510W,False,True,True,False
YBR223C,YGR048W,False,False,False,True
YBR227C,YHR033W,False,False,False,True
YBR228W,YGR198W,False,False,False,True
YBR228W,YLR135W,True,True,False,False
YBR228W,YML064C,False,False,False,True
YBR230C,YNL100W,False,False,False,True
YBR233W,YBR233W,False,False,True,False
YBR233W,YBR261C,False,False,True,False
YBR233W,YDR116C,False,False,True,False
YBR233W,YDR473C,False,False,True,False
YBR233W,YGL122C,False,False,True,False
YBR233W,YIL079C,False,False,True,False
YBR233W,YKL074C,False,False,True,False
YBR233W,YLR291C,False,False,True,False
YBR233W,YNL075W,False,False,True,False
YBR233W,YNL288W,False,False,True,False
YBR233WA,YDR357C,False,False,False,True
YBR233WA,YLR313C,False,False,False,True
YBR234C,YDL029W,False,False,True,False
YBR234C,YDR063W,False,False,True,False
YBR237W,YDR073W,True,False,False,False
YBR237W,YGR013W,False,False,False,True
YBR239C,YPL133C,False,True,False,False
YBR241C,YDR479C,False,False,True,False
YBR241C,YIR033W,False,False,True,False
YBR241C,YIR038C,False,False,True,False
YBR242W,YBR242W,False,False,True,False
YBR243C,YIR038C,False,False,True,False
YBR244W,YCR086W,False,False,True,False
YBR244W,YLR117C,True,False,False,False
YBR244W,YLR345W,False,False,True,False
YBR246W,YDR520C,False,True,False,False
YBR247C,YKL159C,False,False,True,False
YBR249C,YDR510W,False,False,True,False
YBR249C,YGR168C,False,False,False,True
YBR252W,YBR252W,False,False,True,False
YBR252W,YLR291C,False,False,True,False
YBR252W,YNL189W,True,False,False,False
YBR253W,YMR112C,True,False,False,False
YBR254C,YDR472W,True,True,False,False
YBR254C,YKR068C,False,True,True,False
YBR255CA,YCL056C,False,False,False,True
YBR255CA,YGR168C,False,False,False,True
YBR255CA,YNL100W,False,False,False,True
YBR255W,YIL106W,False,True,False,False
YBR257W,YCR020CA,False,False,False,True
YBR257W,YDL159W,False,False,False,True
YBR257W,YHR062C,False,False,False,True
YBR257W,YLR291C,False,False,False,True
YBR260C,YDR200C,False,False,False,True
YBR260C,YDR239C,False,False,True,False
YBR260C,YER144C,False,False,True,False
YBR260C,YGR196C,False,True,False,False
YBR260C,YKR019C,False,False,False,True
YBR260C,YMR032W,False,True,True,False
YBR260C,YNL094W,False,False,True,False
YBR260C,YPL140C,False,False,False,True
YBR261C,YCL028W,False,False,True,False
YBR261C,YCR007C,False,False,True,False
YBR261C,YDR032C,False,False,True,False
YBR261C,YDR100W,False,False,True,False
YBR261C,YDR256C,False,False,True,False
YBR261C,YER086W,False,False,True,False
YBR261C,YFL059W,False,False,True,False
YBR261C,YGL037C,False,False,True,False
YBR261C,YGR088W,False,False,True,False
YBR261C,YGR267C,False,False,True,False
YBR261C,YHL018W,False,False,True,False
YBR261C,YHR074W,False,False,True,False
YBR261C,YHR111W,False,False,True,False
YBR261C,YHR112C,False,False,True,False
YBR261C,YHR113W,False,False,True,False
YBR261C,YIL074C,False,False,True,False
YBR261C,YJL151C,False,False,True,False
YBR261C,YJL199C,False,False,True,False
YBR261C,YJL218W,False,False,True,False
YBR261C,YKL151C,False,False,True,False
YBR261C,YLL001W,False,False,True,False
YBR261C,YLR098C,False,False,True,False
YBR261C,YLR245C,False,False,True,False
YBR261C,YLR438CA,False,False,True,False
YBR261C,YML042W,False,False,True,False
YBR261C,YMR021C,False,False,True,False
YBR261C,YMR095C,False,False,True,False
YBR261C,YNL044W,False,False,True,False
YBR261C,YNL239W,False,False,True,False
YBR261C,YOL143C,False,False,True,False
YBR261C,YOR095C,False,False,True,False
YBR261C,YOR108W,False,False,True,False
YBR261C,YOR284W,False,False,True,False
YBR261C,YPL049C,False,False,True,False
YBR261C,YPL069C,False,False,True,False
YBR261C,YPL088W,False,False,True,False
YBR261C,YPR113W,False,False,True,False
YBR264C,YER136W,False,False,False,True
YBR264C,YOR370C,False,False,True,False
YBR268W,YNL185C,False,False,False,True
YBR269C,YKL075C,False,False,False,True
YBR270C,YDR004W,False,False,False,True
YBR270C,YDR259C,False,True,False,False
YBR270C,YER093C,False,True,False,False
YBR270C,YER094C,False,False,False,True
YBR270C,YGL209W,False,False,False,True
YBR270C,YIL103W,False,False,False,True
YBR270C,YIL105C,True,True,False,False
YBR270C,YJR046W,False,False,False,True
YBR270C,YKR026C,True,True,False,False
YBR270C,YLR423C,False,True,False,False
YBR270C,YMR236W,True,False,False,False
YBR270C,YNL047C,False,True,False,False
YBR270C,YPL124W,False,True,False,False
YBR270C,YPL255W,False,True,False,False
YBR273C,YDL190C,False,False,True,False
YBR273C,YDR411C,False,False,True,False
YBR273C,YGR284C,False,False,False,True
YBR273C,YJL048C,False,False,False,True
YBR273C,YMR276W,False,False,False,True
YBR273C,YPR113W,False,False,False,True
YBR274W,YLR258W,True,False,False,False
YBR274W,YMR255W,True,False,False,False
YBR276C,YER081W,False,False,True,False
YBR278W,YDR121W,False,False,True,True
YBR279W,YOR123C,False,False,True,False
YBR280C,YNL141W,False,False,False,True
YBR281C,YDL153C,False,True,False,False
YBR281C,YNL287W,True,False,False,False
YBR282W,YDL087C,False,False,False,True
YBR282W,YDR079CA,False,False,False,True
YBR282W,YGR158C,False,False,False,True
YBR282W,YJR046W,False,False,False,True
YBR282W,YLR117C,False,False,False,True
YBR282W,YLR119W,False,False,False,True
YBR282W,YLR370C,False,False,False,True
YBR282W,YMR168C,False,False,False,True
YBR282W,YNL153C,False,False,False,True
YBR284W,YDL238C,False,True,False,False
YBR284W,YLR368W,False,False,False,True
YBR284W,YML035C,False,False,True,False
YBR288C,YGR261C,False,True,False,True
YBR289W,YPL129W,False,False,True,False
YBR298CA,YCR020CA,False,False,False,True
YCL005WA,YNL125C,False,False,False,True
YCL009C,YML088W,False,False,False,True
YCL010C,YDR176W,False,True,False,False
YCL017C,YER094C,False,False,False,True
YCL017C,YHL006C,False,False,False,True
YCL017C,YJR011C,False,False,False,True
YCL017C,YLR201C,False,False,False,True
YCL017C,YMR239C,False,False,False,True
YCL017C,YOR226C,False,False,False,True
YCL021WA,YMR153W,False,False,False,True
YCL021WA,YPL094C,False,False,True,False
YCL024W,YKR048C,True,False,False,False
YCL028W,YCL028W,False,False,True,False
YCL028W,YCR060W,False,False,True,False
YCL028W,YGR142W,False,False,True,False
YCL028W,YHR034C,False,False,True,False
YCL028W,YKL040C,False,False,True,False
YCL028W,YLR291C,False,False,True,False
YCL028W,YML051W,False,False,True,False
YCL028W,YNL189W,False,False,True,False
YCL028W,YNL288W,False,False,True,False
YCL028W,YOL111C,False,False,True,False
YCL028W,YOL123W,False,False,True,False
YCL028W,YOR007C,False,False,True,False
YCL028W,YPL070W,False,False,True,False
YCL029C,YER016W,False,True,False,False
YCL029C,YLR385C,False,False,False,True
YCL029C,YOR269W,False,False,False,True
YCL031C,YPR040W,False,False,False,True
YCL032W,YDR032C,True,False,False,False
YCL032W,YLL049W,False,False,False,True
YCL032W,YLR362W,True,True,False,False
YCL032W,YLR423C,False,True,False,False
YCL033C,YDR422C,False,False,False,True
YCL033C,YER180C,False,False,False,True
YCL033C,YHR153C,False,False,False,True
YCL033C,YIL008W,False,False,False,True
YCL033C,YJR046W,False,False,False,True
YCL033C,YJR070C,False,False,False,True
YCL033C,YKL103C,False,False,True,False
YCL033C,YOL082W,False,False,True,False
YCL039W,YMR135C,False,False,True,False
YCL040W,YCL040W,False,True,False,False
YCL040W,YDR516C,False,True,False,True
YCL040W,YML099C,True,False,False,False
YCL040W,YNL189W,False,True,False,False
YCL043C,YJL060W,False,False,False,True
YCL051W,YDR523C,False,False,False,True
YCL051W,YML051W,False,False,False,True
YCL051W,YML064C,False,False,False,True
YCL054W,YNL154C,True,False,False,False
YCL055W,YGL036W,False,True,False,False
YCL055W,YGL192W,False,True,False,True
YCL055W,YNL196C,False,False,False,True
YCL056C,YDL157C,False,False,True,False
YCL056C,YDR142C,False,False,True,False
YCL056C,YIL065C,False,False,True,False
YCL056C,YJL185C,False,False,True,False
YCL056C,YMR256C,False,False,False,True
YCL056C,YNL100W,False,False,False,True
YCL056C,YNL131W,False,False,True,False
YCL056C,YOR037W,False,True,False,False
YCL057CA,YDL226C,False,False,False,True
YCL057CA,YGR235C,False,False,False,True
YCL057CA,YLR108C,False,False,False,True
YCL057CA,YLR356W,False,False,False,True
YCL057CA,YNL100W,False,False,False,True
YCL059C,YGL201C,True,False,False,False
YCL059C,YML093W,False,False,False,True
YCL059C,YOR229W,False,False,True,False
YCL063W,YLR423C,False,True,False,False
YCR003W,YML130C,False,False,False,True
YCR004C,YDR032C,True,False,True,False
YCR005C,YCR005C,True,False,False,False
YCR007C,YDL120W,False,False,True,False
YCR007C,YDL164C,False,False,True,False
YCR007C,YKR066C,False,False,True,False
YCR007C,YMR079W,False,False,True,False
YCR007C,YPL020C,False,False,True,False
YCR009C,YDR388W,True,True,True,True
YCR009C,YER125W,False,False,True,False
YCR009C,YMR232W,False,True,False,False
YCR009C,YMR312W,False,False,False,True
YCR011C,YNL154C,True,False,False,False
YCR020C,YCR020C,False,False,True,False
YCR020C,YGL119W,False,False,False,True
YCR020C,YLR291C,False,False,True,False
YCR020CA,YEL053C,True,False,False,True
YCR020CA,YIL119C,False,False,True,False
YCR020CA,YJR128W,False,False,False,True
YCR020CA,YKL025C,False,False,True,False
YCR020CA,YPL173W,False,False,False,True
YCR020WB,YFR004W,False,False,False,True
YCR020WB,YFR037C,False,False,False,True
YCR021C,YDR479C,False,False,True,False
YCR022C,YDL017W,True,False,False,False
YCR024C,YNL243W,False,False,True,False
YCR024CA,YJR010CA,False,False,False,True
YCR024CA,YJR152W,False,False,False,True
YCR027C,YOL083W,True,False,True,False
YCR028CA,YNL189W,False,False,False,True
YCR035C,YGR095C,False,False,False,True
YCR035C,YHR114W,False,True,False,False
YCR036W,YGL153W,False,True,False,False
YCR045C,YOR348C,True,False,False,False
YCR050C,YDL017W,True,False,False,False
YCR051W,YER184C,False,False,True,False
YCR051W,YPL220W,False,False,False,True
YCR052W,YFR037C,False,True,False,False
