orf_name_a	gene_name_a	orf_name_b	gene_name_b	Uetz-screen	Ito-core	CCSB-YI1	YeRI	Zone	GI_PCC	CS_PCC	GE_PCC
YBL056W	PTC3	YDR071C	PAA1	False	True	False	False	D	0.04004	0.23686326844962896	
YBL056W	PTC3	YML088W	UFO1	False	False	False	True	C		-0.17738535552367296	
YBL057C	PTH2	YMR276W	DSK2	False	False	True	True	D	-0.01712	0.004302983382478367	
YBL057C	PTH2	YPR174C		False	False	False	True	D	0.04735	-0.17840703057508336	
YBL058W	SHP1	YDL190C	UFD2	False	False	True	False	D	-0.00585		
YBL058W	SHP1	YFL044C	OTU1	False	False	True	False	D	-0.01057		0.2841
YBL058W	SHP1	YLR291C	GCD7	False	False	True	False	C	-0.09696		0.0218
YBL058W	SHP1	YNL155W	CUZ1	False	False	True	False	D	-0.04049		0.4741
YBL060W	YEL1	YOR094W	ARF3	False	False	True	False	D	-0.03159	0.11286706401726888	0.1498
YBL066C	SEF1	YPR040W	TIP41	False	False	False	True	D	-0.07645	-0.05368302495006907	
YBL068W	PRS4	YKL181W	PRS1	False	False	False	True	D			
YBL068W	PRS4	YOL061W	PRS5	False	True	False	False	D	0.12362	0.17910042328323766	
YBL069W	AST1	YDR100W	TVP15	False	False	True	False	D	-0.02118	0.02347005772810226	
YBL078C	ATG8	YBR217W	ATG12	False	False	False	True	C	0.14554	0.27209871424329335	0.381
YBL078C	ATG8	YHR171W	ATG7	True	False	True	False	D	0.08774	0.24727609628013147	0.5391
YBL078C	ATG8	YNL223W	ATG4	False	False	True	True	D	0.11488		0.5295
YBL078C	ATG8	YNR007C	ATG3	False	True	True	False	D	0.15215	0.17643986335564077	0.6363
YBL078C	ATG8	YOL083W	ATG34	False	False	True	False	D	-0.00227	-0.0072276535997740105	0.6264
YBL081W		YBR165W	UBS1	False	False	False	True	D	0.02745		0.1626
YBL081W		YDL167C	NRP1	False	True	False	False	D	0.00149	0.5015558521825579	0.6298
YBL081W		YDR142C	PEX7	False	False	False	True	D	0.02458	0.18790559972377396	0.188
YBL081W		YGL181W	GTS1	False	False	False	True	D	0.06285	0.33850985660551736	-0.0304
YBL081W		YLR291C	GCD7	False	False	False	True	C	-0.06066		0.515
YBL081W		YML064C	TEM1	False	False	False	True	D	-0.08729		0.3195
YBL081W		YPL174C	NIP100	False	False	False	True	C	0.01676	0.04671013937024336	0.0524
YBL082C	ALG3	YCR094W	CDC50	False	False	False	True	D	0.00121	0.2619549854117004	0.405
YBL090W	MRP21	YLR288C	MEC3	False	False	False	True	B	0.00295		
YBL090W	MRP21	YML088W	UFO1	False	False	False	True	B	0.00612		
YBL091C	MAP2	YGR142W	BTN2	False	False	True	False	D	-0.0186	-0.11999704946777964	
YBL091C-A	SCS22	YDR479C	PEX29	False	False	True	False	D	-0.03947	0.0865401166050306	
YBL091C-A	SCS22	YIR038C	GTT1	False	False	True	False	D	-0.03978	0.15839670475650902	
YBL091C-A	SCS22	YML029W	USA1	False	False	True	False	C	0.01336	-0.0546157785962216	
YBL091C-A	SCS22	YPL094C	SEC62	False	False	True	False	C	0.01263		
YBL093C	ROX3	YML051W	GAL80	False	False	True	False	C			0.0771
YBL097W	BRN1	YDR439W	LRS4	False	False	False	True	B	0.43922		
YBL098W	BNA4	YML130C	ERO1	False	False	False	True	C	0.00907		0.0347
YBL098W	BNA4	YNL100W	MIC27	False	False	False	True	D	0.02986	0.18356746231036034	0.2505
YBL101C	ECM21	YNL225C	CNM67	False	False	True	False	C			
YBL102W	SFT2	YGR068C	ART5	True	False	False	False	D	0.03669	-0.020535103032900855	0.0434
YBL102W	SFT2	YLR453C	RIF2	False	True	False	False	C	-0.00461	0.08974318666297772	
YBL102W	SFT2	YOR036W	PEP12	False	True	False	False	D	0.12631		0.2364
YBL105C	PKC1	YML109W	ZDS2	True	False	False	False	B	0.04208		
YBL107C	MIX23	YLR433C	CNA1	False	False	False	True	C	-0.00189	0.02373486905044365	0.1745
YBR002C	RER2	YKR021W	ALY1	False	False	False	True	D			0.1422
YBR002C	RER2	YML064C	TEM1	False	False	False	True	D			0.3598
YBR006W	UGA2	YBR006W	UGA2	False	False	True	False	D			
YBR006W	UGA2	YDR382W	RPP2B	True	False	False	False	C	0.0185		-0.1911
