"orf_name_a" "gene_name_a" "orf_name_b" "gene_name_b" "Zone" "GI_PCC" "CS_PCC" "GE_PCC"
"1122" "YDL226C" "GCS1" "YOL129W" "VPS68" "D" 0.00347 0.104240717986879 0.0619
"1124" "YDL226C" "GCS1" "YOR327C" "SNC2" "D" 0.02847 0.0907798346377549 -0.072
"1127" "YDL226C" "GCS1" "YPR113W" "PIS1" "D" NA NA 0.2683
"1128" "YDL226C" "GCS1" "YPR183W" "DPM1" "D" -0.03248 NA 0.4469
"1136" "YDL237W" "AIM6" "YPR148C" "" "D" 0.03732 0.116427631682203 NA
"1137" "YDL239C" "ADY3" "YDR148C" "KGD2" "C" -0.01406 0.287797748425262 NA
"1138" "YDL239C" "ADY3" "YDR176W" "NGG1" "C" 0.00196 NA NA
"1139" "YDL239C" "ADY3" "YDR273W" "DON1" "D" -0.01231 0.435833848631435 NA
"1142" "YDL239C" "ADY3" "YGR268C" "HUA1" "D" -0.05127 0.217340799232333 NA
"1143" "YDL239C" "ADY3" "YHR184W" "SSP1" "D" 0.01589 0.173831976855345 NA
"1144" "YDL239C" "ADY3" "YKL103C" "APE1" "D" -0.02343 0.368473347804929 NA
"1146" "YDL239C" "ADY3" "YLR072W" "LAM6" "D" -0.01357 0.250795999420852 NA
"1148" "YDL239C" "ADY3" "YLR423C" "ATG17" "C" 0.07675 NA NA
"1149" "YDL239C" "ADY3" "YML042W" "CAT2" "D" 0.05249 0.017615675621126 NA
"1153" "YDL239C" "ADY3" "YOR324C" "FRT1" "D" 0.01078 0.150623954800213 NA
"1156" "YDL239C" "ADY3" "YPL070W" "MUK1" "C" 0.05436 0.224236552388928 NA
"1157" "YDL239C" "ADY3" "YPL124W" "SPC29" "C" -0.00092 NA NA
"1158" "YDL239C" "ADY3" "YPL255W" "BBP1" "C" NA NA NA
"1171" "YDR005C" "MAF1" "YER081W" "SER3" "D" 0.00331 0.0587872081506841 0.0926
"1173" "YDR013W" "PSF1" "YDR489W" "SLD5" "A" 0.49511 NA 0.43
"1181" "YDR016C" "DAD1" "YGL061C" "DUO1" "A" 0.04553 NA NA
"1182" "YDR016C" "DAD1" "YGR113W" "DAM1" "A" 0.09802 NA NA
"1184" "YDR016C" "DAD1" "YKR037C" "SPC34" "A" NA NA NA
"1186" "YDR020C" "DAS2" "YDR020C" "DAS2" "D" NA NA NA
"1187" "YDR020C" "DAS2" "YNR012W" "URK1" "D" 0.03869 0.717284453750498 0.6046
"1188" "YDR022C" "ATG31" "YLR423C" "ATG17" "A" -0.03608 NA NA
"1193" "YDR034C" "LYS14" "YER043C" "SAH1" "D" NA NA 0.1857
"1194" "YDR034C" "LYS14" "YGR113W" "DAM1" "C" NA NA 0.1633
"1208" "YDR052C" "DBF4" "YLR423C" "ATG17" "B" 0.09215 NA 0.2085
"1226" "YDR076W" "RAD55" "YER095W" "RAD51" "A" 0.44621 NA NA
"1229" "YDR078C" "SHU2" "YHL006C" "SHU1" "D" 0.09106 0.727147742396537 NA
"1230" "YDR078C" "SHU2" "YIL152W" "" "D" NA 0.207926923253916 NA
"1238" "YDR084C" "TVP23" "YGL127C" "SOH1" "C" 0.03919 NA 0.05
"1239" "YDR084C" "TVP23" "YGL161C" "YIP5" "D" 0.00771 0.347757558980545 NA
"1240" "YDR084C" "TVP23" "YGL198W" "YIP4" "D" 0.00739 0.25124495430156 0.5176
"1245" "YDR091C" "RLI1" "YLR192C" "HCR1" "A" 0.0206 NA 0.4337
"1248" "YDR098C" "GRX3" "YGL220W" "BOL2" "D" 0.0459 NA 0.3677
"1253" "YDR100W" "TVP15" "YDR100W" "TVP15" "D" NA NA NA
"1266" "YDR100W" "TVP15" "YNL189W" "SRP1" "C" 0.02299 NA NA
"1278" "YDR105C" "TMS1" "YER081W" "SER3" "D" 0.00497 0.181528931059282 0.1589
"1305" "YDR140W" "MTQ2" "YNR046W" "TRM112" "D" NA NA 0.352
"1311" "YDR142C" "PEX7" "YGR239C" "PEX21" "D" 0.06064 0.374904148363912 0.2851
"1324" "YDR148C" "KGD2" "YFR049W" "YMR31" "A" 0.04753 -0.0164363159640392 0.6724
"1326" "YDR148C" "KGD2" "YKL010C" "UFD4" "B" 0.02335 0.135394550690422 0.3157
"1327" "YDR148C" "KGD2" "YNL092W" "" "C" 0.00544 -0.0309170893214257 0.3483
"1328" "YDR152W" "GIR2" "YGR173W" "RBG2" "D" 0.05822 0.163249008541074 0.6585
"1347" "YDR174W" "HMO1" "YKR092C" "SRP40" "D" 0.05569 NA 0.3646
"1349" "YDR174W" "HMO1" "YNL189W" "SRP1" "C" -0.03391 NA 0.306
"1350" "YDR174W" "HMO1" "YPR104C" "FHL1" "C" 0.21939 NA 0.2112
"1359" "YDR176W" "NGG1" "YDR448W" "ADA2" "A" 0.24777 NA 0.348
"1360" "YDR176W" "NGG1" "YLR423C" "ATG17" "B" -0.05327 NA 0.5003
"1368" "YDR189W" "SLY1" "YLR026C" "SED5" "D" 0.15163 NA 0.1911
"1370" "YDR190C" "RVB1" "YPL235W" "RVB2" "A" 0.03359 NA 0.7268
"1371" "YDR192C" "NUP42" "YER081W" "SER3" "C" 0.00093 NA NA
"1373" "YDR194C" "MSS116" "YER081W" "SER3" "D" -0.02186 NA 0.2032
"1382" "YDR201W" "SPC19" "YKR037C" "SPC34" "A" NA NA 0.4484
"1383" "YDR201W" "SPC19" "YKR083C" "DAD2" "A" 0.11841 NA 0.6733
"1386" "YDR201W" "SPC19" "YNL189W" "SRP1" "B" 0.03927 NA 0.0779
"1389" "YDR205W" "MSC2" "YNR039C" "ZRG17" "D" 0.12931 0.440064855657796 0.55
"1397" "YDR212W" "TCP1" "YLR030W" "" "C" -0.02027 NA NA
"1402" "YDR214W" "AHA1" "YOL052C" "SPE2" "D" -0.00188 0.0826456087643606 0.1721
"1411" "YDR229W" "IVY1" "YMR047C" "NUP116" "C" NA NA 0.279
"1412" "YDR229W" "IVY1" "YNL041C" "COG6" "C" -0.0097 -0.0869312352794084 0.2838
"1414" "YDR233C" "RTN1" "YOR285W" "RDL1" "C" -0.02471 0.245535576382356 0.0094
"1430" "YDR252W" "BTT1" "YGR134W" "CAF130" "A" 0.05071 0.192517517907621 NA
"1438" "YDR256C" "CTA1" "YGL153W" "PEX14" "C" -0.00581 0.166710443580531 0.3167
"1443" "YDR259C" "YAP6" "YDR311W" "TFB1" "C" -0.00194 NA NA
"1444" "YDR259C" "YAP6" "YGL181W" "GTS1" "D" 0.00487 -0.0956037004086494 NA
"1445" "YDR259C" "YAP6" "YGR066C" "" "D" -0.00485 -0.183692623401889 NA
"1448" "YDR259C" "YAP6" "YLR423C" "ATG17" "C" 0.01259 NA NA
"1449" "YDR259C" "YAP6" "YLR447C" "VMA6" "C" 0.02654 NA NA
"1450" "YDR259C" "YAP6" "YNL092W" "" "D" -0.00785 -0.0994380568823679 NA
"1452" "YDR264C" "AKR1" "YHR135C" "YCK1" "D" 0.10394 NA 0.1932
"1453" "YDR264C" "AKR1" "YNL154C" "YCK2" "D" 0.00617 NA 0.3622
"1454" "YDR264C" "AKR1" "YOR101W" "RAS1" "D" -0.04713 NA 0.0327
"1458" "YDR267C" "CIA1" "YHR122W" "CIA2" "A" 0.39758 NA 0.334
"1462" "YDR277C" "MTH1" "YLR447C" "VMA6" "C" 0.06126 NA 0.0046
"1491" "YDR299W" "BFR2" "YER127W" "LCP5" "A" 0.28892 NA 0.83
"1493" "YDR308C" "SRB7" "YGL127C" "SOH1" "A" 0.11939 NA 0.1745
"1507" "YDR311W" "TFB1" "YGR120C" "COG2" "B" -0.04075 NA 0.5129
"1510" "YDR311W" "TFB1" "YKL103C" "APE1" "C" 0.00738 NA -0.0207
"1511" "YDR311W" "TFB1" "YLR288C" "MEC3" "B" 0.01707 NA 0.5497
"1512" "YDR311W" "TFB1" "YLR423C" "ATG17" "B" 0.00348 NA 0.3548
"1514" "YDR311W" "TFB1" "YMR294W" "JNM1" "B" 0.00297 NA 0.5039
"1516" "YDR311W" "TFB1" "YOL082W" "ATG19" "C" 0.07209 NA 0.0082
"1526" "YDR318W" "MCM21" "YNL189W" "SRP1" "B" 0.07492 NA 0.1804
"1534" "YDR321W" "ASP1" "YDR321W" "ASP1" "D" NA NA NA
"1570" "YDR357C" "CNL1" "YGL079W" "KXD1" "A" 0.06624 0.120545499887903 0.2737
"1587" "YDR366C" "" "YER071C" "TDA2" "C" -0.01968 NA NA
"1621" "YDR383C" "NKP1" "YNL189W" "SRP1" "B" 0.05245 NA NA
"1633" "YDR389W" "SAC7" "YJR091C" "JSN1" "D" 0.04937 0.190539061903087 0.388
"1634" "YDR394W" "RPT3" "YGR232W" "NAS6" "B" -0.02362 NA 0.4613
"1635" "YDR394W" "RPT3" "YOR117W" "RPT5" "A" 0.23633 NA 0.8338
"1649" "YDR416W" "SYF1" "YGR129W" "SYF2" "A" 0.3468 NA 0.4284
"1653" "YDR416W" "SYF1" "YJR050W" "ISY1" "A" 0.52978 NA 0.463
"1661" "YDR422C" "SIP1" "YHR114W" "BZZ1" "C" 0.01432 -0.00170065995522606 NA
"1664" "YDR423C" "CAD1" "YMR047C" "NUP116" "C" -0.01615 NA NA
"1668" "YDR425W" "SNX41" "YGL161C" "YIP5" "C" -0.01265 0.179793650658789 NA
"1669" "YDR425W" "SNX41" "YGL198W" "YIP4" "C" 0.04541 0.0789580842045578 0.1384
"1670" "YDR425W" "SNX41" "YJL036W" "SNX4" "A" 0.09918 0.292891228951392 0.6081
"1671" "YDR425W" "SNX41" "YJR110W" "YMR1" "C" -0.00661 0.0272160279877758 0.6026
"1677" "YDR429C" "TIF35" "YPL105C" "SYH1" "C" -0.01816 NA 0.4724
