,geneA,geneB
498,YDR079CA,YLR433C
499,YDR079CA,YPL122C
500,YDR079CA,YPL188W
501,YDR084C,YGL198W
502,YDR088C,YDR416W
503,YDR088C,YGR074W
504,YDR101C,YJL122W
505,YDR106W,YHR129C
506,YDR121W,YJL065C
507,YDR130C,YER094C
508,YDR130C,YJR011C
509,YDR130C,YJR050W
510,YDR130C,YOR185C
511,YDR130C,YOR368W
512,YDR132C,YFL009W
513,YDR132C,YHR170W
514,YDR137W,YLR327C
515,YDR140W,YNR046W
516,YDR142C,YEL009CA
517,YDR142C,YGR067C
518,YDR142C,YGR168C
519,YDR142C,YGR235C
520,YDR142C,YGR239C
521,YDR142C,YIL160C
522,YDR142C,YML030W
523,YDR142C,YMR267W
524,YDR142C,YNL100W
525,YDR142C,YNL214W
526,YDR142C,YNL334C
527,YDR148C,YGR048W
528,YDR152W,YGR173W
529,YDR160W,YJL057C
530,YDR160W,YNL234W
531,YDR160W,YPL096CA
532,YDR161W,YPL068C
533,YDR165W,YGR146C
534,YDR173C,YMR042W
535,YDR175C,YDR280W
536,YDR175C,YER094C
537,YDR175C,YGL115W
538,YDR175C,YGR215W
539,YDR175C,YJR046W
540,YDR175C,YKR027W
541,YDR175C,YLR048W
542,YDR175C,YMR130W
543,YDR179C,YMR025W
544,YDR181C,YOR213C
545,YDR184C,YDR439W
546,YDR184C,YML051W
547,YDR188W,YMR211W
548,YDR189W,YOR075W
549,YDR192C,YGR161WC
550,YDR194C,YKL075C
551,YDR197W,YOR368W
552,YDR200C,YMR052W
553,YDR201W,YIR017C
554,YDR201W,YKL138CA
555,YDR201W,YKR037C
556,YDR201W,YLR313C
557,YDR201W,YNL086W
558,YDR202C,YDR295C
559,YDR202C,YJL004C
560,YDR205W,YNR039C
561,YDR228C,YLR108C
562,YDR228C,YMR213W
563,YDR228C,YOR250C
564,YDR228C,YPL065W
565,YDR236C,YNL125C
566,YDR240C,YLR048W
567,YDR240C,YNL189W
568,YDR240C,YPR178W
569,YDR246W,YDR472W
570,YDR247W,YPL173W
571,YDR249C,YLR288C
572,YDR252W,YER068W
573,YDR252W,YHR193C
574,YDR252W,YJR011C
575,YDR254W,YGR142W
576,YDR254W,YOR368W
577,YDR255C,YMR135C
578,YDR260C,YHR166C
579,YDR265W,YGR133W
580,YDR265W,YGR168C
581,YDR265W,YNL100W
582,YDR267C,YOL111C
583,YDR279W,YLR154C
584,YDR280W,YGR195W
585,YDR281C,YNL044W
586,YDR281C,YNL204C
587,YDR284C,YPR159W
588,YDR288W,YLR007W
589,YDR292C,YKL154W
590,YDR295C,YER180CA
591,YDR295C,YLR117C
592,YDR295C,YLR315W
593,YDR295C,YMR002W
594,YDR295C,YMR052W
595,YDR295C,YNL107W
596,YDR295C,YOL069W
597,YDR295C,YOR117W
598,YDR295C,YOR304CA
599,YDR295C,YPL121C
600,YDR295C,YPR083W
601,YDR308C,YHR148W
602,YDR308C,YJL036W
603,YDR308C,YLR315W
604,YDR308C,YLR347C
605,YDR308C,YML051W
606,YDR308C,YNL086W
607,YDR308C,YNL189W
608,YDR308C,YOR216C
609,YDR308C,YPL077C
610,YDR311W,YER134C
611,YDR311W,YGR005C
612,YDR311W,YHL004W
613,YDR311W,YLR288C
614,YDR311W,YLR423C
615,YDR311W,YML064C
616,YDR311W,YNL189W
617,YDR311W,YPL065W
618,YDR312W,YPR143W
619,YDR317W,YPL222W
620,YDR318W,YNL189W
621,YDR319C,YGL209W
622,YDR320CA,YKL138CA
623,YDR320CA,YKR037C
624,YDR320CA,YLL049W
625,YDR320CA,YLR313C
626,YDR320CA,YNL086W
627,YDR322CA,YML130C
628,YDR323C,YKL218C
629,YDR323C,YOR368W
630,YDR328C,YGR222W
631,YDR328C,YIL046W
632,YDR328C,YLR097C
633,YDR328C,YLR224W
634,YDR328C,YLR267W
635,YDR328C,YML088W
636,YDR328C,YMR094W
637,YDR328C,YMR258C
638,YDR328C,YOR158W
639,YDR346C,YIL132C
640,YDR347W,YJR101W
641,YDR347W,YNL135C
642,YDR351W,YJR046W
643,YDR351W,YKL078W
644,YDR351W,YML064C
645,YDR357C,YEL005C
646,YDR357C,YJL036W
647,YDR357C,YML064C
648,YDR357C,YPL225W
649,YDR364C,YLR233C
650,YDR364C,YPR101W
651,YDR367W,YOL044W
652,YDR367W,YPR174C
653,YDR373W,YGL006WA
654,YDR373W,YGR082W
655,YDR373W,YHR139C
656,YDR373W,YJL174W
657,YDR373W,YLR099WA
658,YDR373W,YMR122WA
659,YDR373W,YOL077WA
660,YDR373W,YOR003W
661,YDR373W,YPL038WA
662,YDR373W,YPR010CA
663,YDR375C,YDR375C
664,YDR375C,YGR026W
665,YDR375C,YGR284C
666,YDR375C,YJL097W
667,YDR375C,YLR108C
668,YDR375C,YML031W
669,YDR375C,YOR285W
670,YDR375C,YPR028W
671,YDR378C,YER146W
672,YDR378C,YLR275W
673,YDR378C,YNL147W
674,YDR378C,YOR159C
675,YDR379CA,YKL075C
676,YDR386W,YNL024C
677,YDR386W,YPL108W
678,YDR388W,YIR018W
679,YDR388W,YNL086W
680,YDR395W,YML094W
681,YDR404C,YJL140W
682,YDR410C,YPL191C
683,YDR416W,YHL004W
684,YDR416W,YMR124W
685,YDR416W,YOR275C
686,YDR416W,YPL211W
687,YDR422C,YDR477W
688,YDR422C,YDR516C
689,YDR422C,YOR018W
690,YDR424C,YHR005C
691,YDR424C,YNL196C
692,YDR425W,YJL036W
693,YDR425W,YJR110W
694,YDR428C,YOR157C
695,YDR434W,YNL125C
696,YDR436W,YPR005C
697,YDR437W,YER083C
698,YDR446W,YEL005C
699,YDR447C,YLR288C
700,YDR449C,YLR146WA
701,YDR453C,YLL029W
702,YDR462W,YPR083W
703,YDR465C,YEL054C
704,YDR468C,YML088W
705,YDR469W,YEL005C
706,YDR472W,YML077W
707,YDR473C,YPR178W
708,YDR476C,YJR010CA
709,YDR477W,YGL115W
710,YDR477W,YGL179C
711,YDR477W,YGL208W
712,YDR480W,YGR048W
713,YDR484W,YNL214W
714,YDR484W,YPR031W
715,YDR486C,YLR356W
716,YDR489W,YFR043C
717,YDR489W,YPL135W
718,YDR495C,YMR231W
719,YDR498C,YGL145W
720,YDR498C,YOR075W
721,YDR517W,YLR226W
722,YDR517W,YOL129W
723,YDR517W,YPR113W
724,YDR523C,YKL189W
725,YEL005C,YNL086W
726,YEL009CA,YGR183C
727,YEL009CA,YJL205C
728,YEL013W,YGL068W
729,YEL013W,YMR251WA
730,YEL013W,YPL135W
731,YEL015W,YGL209W
732,YEL017W,YPR174C
733,YEL018W,YNL136W
734,YEL025C,YJR103W
735,YEL026W,YLR197W
736,YEL029C,YIL113W
737,YEL029C,YML064C
738,YEL029C,YNR027W
739,YEL029C,YOR385W
740,YEL037C,YIL148W
741,YEL037C,YPL096W
742,YEL041W,YGR246C
743,YEL041W,YLR347C
744,YEL041W,YNL116W
745,YEL041W,YPL188W
746,YEL042W,YNL125C
747,YEL044W,YNL059C
748,YEL051W,YGR020C
749,YEL056W,YPL001W
750,YEL063C,YML132W
751,YEL066W,YGR048W
752,YER003C,YGL017W
753,YER007CA,YJR014W
754,YER007W,YLR438CA
755,YER009W,YGR029W
756,YER009W,YIR018W
757,YER009W,YLR335W
758,YER009W,YNL334C
759,YER009W,YOR158W
760,YER016W,YGL113W
761,YER016W,YKL091C
762,YER016W,YKL099C
763,YER016W,YLR385C
764,YER016W,YNL073W
765,YER020W,YJL106W
766,YER025W,YJR007W
767,YER026C,YMR153W
768,YER026C,YOL044W
769,YER068W,YGL044C
770,YER074WA,YNL024CA
771,YER079W,YNL154C
772,YER083C,YHR057C
773,YER083C,YHR213WB
774,YER083C,YLR162W
775,YER083C,YOL044W
776,YER083C,YPR010CA
777,YER087CB,YJR010CA
778,YER092W,YLR423C
779,YER094C,YFL024C
780,YER094C,YGR057C
781,YER094C,YLL027W
782,YER094C,YLR119W
783,YER094C,YLR291C
784,YER094C,YLR433C
785,YER094C,YML003W
786,YER094C,YOR157C
787,YER094C,YOR313C
788,YER094C,YPL135W
789,YER094C,YPL173W
790,YER094C,YPL188W
791,YER095W,YGR042W
792,YER095W,YGR048W
793,YER101C,YPR134W
794,YER112W,YLR264W
795,YER112W,YLR275W
796,YER112W,YNL147W
797,YER116C,YGR024C
798,YER116C,YIL106W
799,YER116C,YKR035WA
800,YER116C,YML016C
801,YER116C,YPL018W
802,YER124C,YML051W
803,YER126C,YPR017C
804,YER127W,YKL075C
805,YER127W,YMR213W
806,YER127W,YMR232W
807,YER127W,YNL086W
808,YER127W,YOR158W
809,YER128W,YJR003C
810,YER128W,YKR035WA
811,YER128W,YLR181C
812,YER131W,YLR435W
813,YER134C,YJL031C
814,YER134C,YML088W
815,YER136W,YFL005W
816,YER136W,YFL038C
817,YER136W,YOR089C
818,YER137C,YER137C
819,YER143W,YIL148W
820,YER143W,YJR141W
821,YER143W,YLR203C
822,YER146W,YFL017WA
823,YER146W,YLR275W
824,YER146W,YLR438CA
825,YER146W,YNL075W
826,YER146W,YNL147W
827,YER149C,YIR017C
828,YER149C,YKL012W
829,YER170W,YLR048W
830,YER170W,YLR315W
831,YER170W,YNL189W
832,YER173W,YNL290W
